2026-07-17 06:25:00 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:25:15 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:25:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:25:46 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:26:01 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:26:06 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'USUSDT', 'level': 0.043096, 'event': 'bounce', 'fill_depth': 0.04640801930573414}
2026-07-17 06:26:16 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:26:21 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'DODOXUSDT', 'level': 0.021675145454545453, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-17 06:26:21 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'DODOXUSDT', 'level': 0.021351}
2026-07-17 06:26:21 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'DODOXUSDT', 'resistance': 0.021675145454545453, 'from_support': 0.021351}
2026-07-17 06:26:21 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'DODOXUSDT', 'level': 0.021675145454545453, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-17 06:26:31 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:26:37 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 06:26:46 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:27:01 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:27:16 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:27:32 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:27:47 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:28:02 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:28:17 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:28:32 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:28:47 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:29:03 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:29:18 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:29:33 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:29:48 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:30:03 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:30:18 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:30:34 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:30:49 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:31:04 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:31:19 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-17 06:31:19 | INFO | __main__:_run_phase1:575 | Replaced old monitor with closer level | {'symbol': 'AKEUSDT', 'old': 0.0008383, 'new': 0.0008796}
2026-07-17 06:31:19 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.0008383}
2026-07-17 06:31:19 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:31:20 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0008796, 'strength': 4}
2026-07-17 06:31:34 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:31:49 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
2026-07-17 06:32:04 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 12, 'block_threshold': 4}
2026-07-17 06:32:20 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.042877, 'approach_count': 11, 'block_threshold': 4}
