2026-07-15 03:27:03 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:27:08 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:27:13 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:19 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:19 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:24 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:29 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:34 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:34 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:39 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
2026-07-15 03:27:44 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.16'}
