2026-07-18 06:34:21 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:34:37 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:34:52 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:35:07 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:35:22 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:35:25 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BANKUSDT', 'level': 0.06861, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.53}
2026-07-18 06:35:26 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'BANKUSDT', 'total_levels': 1}
2026-07-18 06:35:37 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:35:53 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:35:58 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-18 06:35:58 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'AKEUSDT', 'total_levels': 4}
2026-07-18 06:36:08 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:36:23 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:36:38 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:36:53 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:37:09 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:37:24 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:37:39 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:37:54 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:38:09 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:38:24 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:38:40 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:38:55 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:39:10 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:39:25 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:39:40 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
